Wall time,Time,Progress,Step,Value
1588889767,0,0,0,0.09549999982
1588890083,315.9569502,0.02969788572,250,0.4670999944
1588890395,627.3817301,0.0589697771,500,0.7421000004
1588890766,999.0239301,0.09390171191,750,0.8392000198
1588891078,1310.58011,0.123185954,1000,0.8547999859
1588891390,1622.22668,0.1524786922,1250,0.8501999974
1588891761,1993.71204,0.1873958851,1500,0.8684999943
1588892072,2305.03143,0.2166578705,1750,0.8790000081
1588892384,2616.60896,0.2459441194,2000,0.8783000112
1588892756,2988.4001,0.2808900536,2250,0.8758999705
1588893067,3299.83631,0.3101630193,2500,0.8816000223
1588893439,3671.52972,0.3450997675,2750,0.8845999837
1588893751,3983.44066,0.3744173548,3000,0.8902999759
1588894062,4294.85659,0.4036884143,3250,0.8849999905
1588894434,4666.6223,0.4386319583,3500,0.8838000298
1588894746,4978.35969,0.467933233,3750,0.8905000091
1588895057,5289.65749,0.497193189,4000,0.8956000209
1588895429,5661.71742,0.5321643877,4250,0.9175999761
1588895741,5973.52677,0.5614724262,4500,0.9179999828
1588896053,6285.40996,0.5907874051,4750,0.9183999896
1588896424,6657.02872,0.6257171367,5000,0.9192000031
1588896736,6968.60124,0.6550029147,5250,0.9185000062